,D1,D2,diferenca_D1_D2,desvio_absoluto_D1,desvio_absoluto_D2,volume_V1,volume_V2,desvio_absoluto_V1,desvio_absoluto_V2
0,18.5,18.6,0.10000000000000142,-0.4606999999999992,-0.34130000000000393,3315.231097547579,3369.2827227513676,-263.3902981257843,-198.24236697410606
1,18.53,18.63,0.09999999999999787,-0.4306999999999981,-0.31130000000000635,3331.385416728954,3385.6120129355827,-247.235978944409,-181.91307678989097
2,19.51,19.51,0.0,0.5493000000000023,0.5686999999999962,3888.3954878235104,3888.3954878235104,309.7740921501472,320.87039809803673
3,19.4,19.4,0.0,0.43929999999999936,0.4586999999999932,3822.9957225730086,3822.9957225730086,244.37432689964544,255.47063284753494
4,18.6,18.62,0.019999999999999574,-0.3606999999999978,-0.32130000000000436,3369.2827227513676,3380.1630676091877,-209.33867292199557,-187.36202211628597
5,18.7,18.65,-0.05000000000000071,-0.26069999999999993,-0.2913000000000068,3423.918684188722,3396.527465091307,-154.702711484641,-170.99762463416664
6,18.6,18.6,0.0,-0.3606999999999978,-0.34130000000000393,3369.2827227513676,3369.2827227513676,-209.33867292199557,-198.24236697410606
7,19.1,19.1,0.0,0.1393000000000022,0.15869999999999607,3648.368724126895,3648.368724126895,69.74732845353174,80.84363440142124
8,19.2,19.2,0.0,0.23930000000000007,0.25869999999999393,3705.9734906218914,3705.9734906218914,127.35209494852825,138.44840089641775
9,19.6,19.6,0.0,0.6393000000000022,0.6586999999999961,3942.4558304233133,3942.4558304233133,363.8344347499501,374.9307406978396
10,18.2,18.1,-0.09999999999999787,-0.7606999999999999,-0.8413000000000039,3156.550823411085,3104.805127215033,-422.07057226227835,-462.71996251044084
11,18.62,18.6,-0.019999999999999574,-0.3406999999999982,-0.34130000000000393,3380.1630676091877,3369.2827227513676,-198.45832806417548,-198.24236697410606
12,19.12,19.12,0.0,0.15930000000000177,0.17869999999999564,3659.841573359183,3659.841573359183,81.22017768581964,92.31648363370914
13,18.08,18.14,0.060000000000002274,-0.8807000000000009,-0.8013000000000048,3094.5243238992216,3125.434994371829,-484.09707177414157,-442.09009535364476
14,18.36,18.58,0.21999999999999886,-0.6006999999999998,-0.36130000000000706,3240.5345255422562,3358.4257513428875,-338.08687013110693,-209.0993383825862
15,18.78,18.74,-0.0400000000000027,-0.18069999999999808,-0.20130000000000692,3468.0502865770395,3445.9373866258175,-110.57110909632365,-121.58770309965621
16,18.58,18.42,-0.1599999999999966,-0.3807000000000009,-0.5213000000000036,3358.4257513428875,3272.4084083224548,-220.19564433047572,-295.1166814030189
17,19.62,19.62,0.0,0.6593000000000018,0.6786999999999956,3954.5368919933358,3954.5368919933358,375.9154963199726,387.0118022678621
18,19.58,18.54,-1.0399999999999991,0.6192999999999991,-0.4013000000000062,3930.3993989396927,3336.781828342995,351.7780032663295,-230.74326138247852
19,18.4,18.4,0.0,-0.5607000000000006,-0.5413000000000068,3261.760666984704,3261.760666984704,-316.86072868865904,-305.76442274076953
20,18.44,18.36,-0.08000000000000185,-0.5206999999999979,-0.5813000000000059,3283.079296914875,3240.5345255422562,-295.542098758488,-326.99056418321743
21,18.25,18.4,0.14999999999999858,-0.7106999999999992,-0.5413000000000068,3182.6378888581785,3261.760666984704,-395.9835068151847,-305.76442274076953
22,18.49,18.4,-0.08999999999999986,-0.4707000000000008,-0.5413000000000068,3309.8579525687283,3261.760666984704,-268.7634431046349,-305.76442274076953
23,19.2,19.21,0.010000000000001563,0.23930000000000007,0.2686999999999955,3705.9734906218914,3711.7670906535354,127.35209494852825,144.24200092806177
24,18.1,18.1,0.0,-0.8606999999999978,-0.8413000000000039,3104.805127215033,3104.805127215033,-473.81626845833034,-462.71996251044084
